state,year,area_km
PARÁ,2010.0,111.62351646240852
PARÁ,2012.0,1.6536367196110031
PARÁ,2013.0,169.61155808138489
PARÁ,2014.0,190.4450325295769
PARÁ,2015.0,0.833085160031406
PARÁ,2016.0,293.20020551692096
PARÁ,2017.0,2.046821410252
PARÁ,2018.0,198.08805220062925
PARÁ,2019.0,4.255067868521509
PARÁ,2020.0,312.58192534025164
PARÁ,2021.0,192.18089561683166
PARÁ,2022.0,243.66306873666548
PARÁ,2023.0,245.7959615472205
PIAUÍ,2002.0,1732.309649920685
PIAUÍ,2004.0,3291.8826452116045
PIAUÍ,2006.0,2659.634200199286
PIAUÍ,2008.0,1727.2272841638212
PIAUÍ,2010.0,2257.6772724468306
PIAUÍ,2012.0,1804.385594308489
PIAUÍ,2013.0,1879.2897478325604
PIAUÍ,2014.0,1286.8628459671427
PIAUÍ,2015.0,779.3143871181487
PIAUÍ,2016.0,966.0702242964138
PIAUÍ,2017.0,566.2537375150596
PIAUÍ,2018.0,743.8806873118041
PIAUÍ,2019.0,425.7379031071939
PIAUÍ,2020.0,880.0094575649159
PIAUÍ,2021.0,583.7316254179384
PIAUÍ,2022.0,1188.777283369383
PIAUÍ,2023.0,1127.508591688537
RONDÔNIA,2002.0,7.158775059183123
RONDÔNIA,2004.0,43.36710668061326
RONDÔNIA,2006.0,17.689563356566605
RONDÔNIA,2007.0,122.94172993128336
RONDÔNIA,2008.0,24.173810369433692
RONDÔNIA,2010.0,10.90362430228054
RONDÔNIA,2012.0,0.8448089270394171
RONDÔNIA,2013.0,7.671197977075637
RONDÔNIA,2014.0,17.53951459224253
RONDÔNIA,2015.0,2.2189417703709884
RONDÔNIA,2016.0,45.48435907590829
RONDÔNIA,2017.0,1.4334053834207139
RONDÔNIA,2018.0,17.61051925356941
RONDÔNIA,2019.0,8.330104350681966
RONDÔNIA,2020.0,23.529082037144995
RONDÔNIA,2021.0,18.208838765796788
RONDÔNIA,2022.0,12.916414706520865
RONDÔNIA,2023.0,12.990352869790573
SÃO PAULO,2002.0,191.3011105301029
SÃO PAULO,2004.0,206.50368335596562
SÃO PAULO,2006.0,186.7641562312375
SÃO PAULO,2008.0,57.93420352870839
SÃO PAULO,2010.0,77.82110825273708
SÃO PAULO,2012.0,21.593600580494243
SÃO PAULO,2013.0,23.76854363821514
SÃO PAULO,2014.0,24.635042900344704
SÃO PAULO,2015.0,9.658225456844173
SÃO PAULO,2016.0,2.0785513265256457
SÃO PAULO,2017.0,1.7070217517078345
SÃO PAULO,2018.0,9.143804781972356
SÃO PAULO,2019.0,3.735783797911401
SÃO PAULO,2020.0,5.569065698110626
SÃO PAULO,2021.0,1.2846852237480888
SÃO PAULO,2022.0,3.8414532899808234
SÃO PAULO,2023.0,1.481144108234123
TOCANTINS,2002.0,5841.804817308214
TOCANTINS,2004.0,6189.0843684869715
TOCANTINS,2006.0,5277.578974173878
TOCANTINS,2007.0,27.454283257884267
TOCANTINS,2008.0,3658.13816055649
TOCANTINS,2010.0,3669.0927513210877
TOCANTINS,2012.0,3498.6059315513517
TOCANTINS,2013.0,2880.8235169133923
TOCANTINS,2014.0,2271.1993760455543
TOCANTINS,2015.0,3081.2981024600176
TOCANTINS,2016.0,1638.1076937021082
TOCANTINS,2017.0,1721.9525437731768
TOCANTINS,2018.0,1587.2908006021487
TOCANTINS,2019.0,1533.4115255597187
TOCANTINS,2020.0,1584.7067365013088
TOCANTINS,2021.0,1710.55198095284
TOCANTINS,2022.0,2127.52148903221
TOCANTINS,2023.0,2233.5806081337596
