year,state,sub_class,area_km
2021.0,MA,nao_classificado,176.7851070392324
2021.0,MT,nao_classificado,1919.6165348277764
2021.0,PA,nao_classificado,5083.7589591755295
2021.0,RO,nao_classificado,1640.067951617178
2021.0,RR,nao_classificado,283.6909598768111
2021.0,TO,nao_classificado,11.300231903811685
2022.0,AC,corte raso com solo exposto,813.0355381947572
2022.0,AC,corte raso com vegetação,167.15906619793302
2022.0,AC,nao_classificado,25.669366942160405
2022.0,AM,corte raso com solo exposto,2524.4601379610026
2022.0,AM,corte raso com vegetação,452.8529928314931
2022.0,AM,mineração,23.07528318408805
2022.0,AM,nao_classificado,47.29557048191157
2022.0,AP,corte raso com solo exposto,9.903448166969511
2022.0,AP,corte raso com vegetação,2.1728188579307925
2022.0,AP,mineração,1.2529428667140832
2022.0,AP,nao_classificado,0.742534509405248
2022.0,MA,corte raso com solo exposto,101.1220518034873
2022.0,MA,corte raso com vegetação,29.790793902929988
2022.0,MA,mineração,0.1859981440922479
2022.0,MA,nao_classificado,13.232653422898494
2022.0,MT,corte raso com solo exposto,1093.2190004666995
2022.0,MT,corte raso com vegetação,386.3393218963636
2022.0,MT,floresta inundada,0.09598236074846983
2022.0,MT,mineração,4.242800184071581
2022.0,MT,nao_classificado,497.44294637980715
2022.0,PA,corte raso com solo exposto,2585.811370914736
2022.0,PA,corte raso com vegetação,1637.0626011658057
2022.0,PA,mineração,53.555520859625396
2022.0,PA,nao_classificado,251.5924424472045
2022.0,RO,corte raso com solo exposto,872.7114299134504
2022.0,RO,corte raso com vegetação,496.3776023269763
2022.0,RO,floresta inundada,0.13737247302621905
2022.0,RO,mineração,0.3982023189182707
2022.0,RO,nao_classificado,78.82737363079167
2022.0,RR,corte raso com solo exposto,150.99613455415508
2022.0,RR,corte raso com vegetação,114.76362558944683
2022.0,RR,floresta inundada,0.5908937247411014
2022.0,RR,mineração,13.047841840376465
2022.0,RR,nao_classificado,13.785048012225039
2022.0,TO,corte raso com solo exposto,13.875334375830615
2022.0,TO,corte raso com vegetação,1.2416374684290536
2022.0,TO,nao_classificado,1.3251682786666288
2023.0,AC,corte raso com solo exposto,275.8898807208561
2023.0,AC,corte raso com vegetação,136.6862830082037
2023.0,AC,nao_classificado,50.374790558134926
2023.0,AM,corte raso com solo exposto,879.8606117495113
2023.0,AM,corte raso com vegetação,336.1851216379544
2023.0,AM,floresta inundada,1.1451805698367417
2023.0,AM,mineração,27.348650585545467
2023.0,AM,nao_classificado,65.01365719218069
2023.0,AP,corte raso com solo exposto,12.610990186950703
2023.0,AP,corte raso com vegetação,0.8186342453541622
2023.0,AP,mineração,1.7859632042606073
2023.0,AP,nao_classificado,0.528528088345938
2023.0,MA,corte raso com solo exposto,116.87720080333774
